feature_ids	Ath_WT_R1_expression	Ath_WT_R2_expression	Ath_hy5_R1_expression	Ath_hy5_R2_expression
AT5G21060	0.0	2.2702261351708617	3.9785899011063197	4.288662065049201
AT5G55820	0.0	0.0	1.8159990939711512	1.556047021971445
AT5G43560	1.272522563422867	1.4992813240647294	3.746324810572415	4.133888342729818
AT5G41140	1.8085170197056997	1.1940948126101327	3.1268376861383307	3.4106227213060354
AT5G24740	0.2575479749846423	0.2674014982957632	1.4651510996580646	1.6239646966843173
AT1G03060	1.6180142937811584	1.507011587845156	3.3445930517693396	3.624098270436711
AT1G70350	4.372508788177554	4.181283420253834	0.0	0.0
AT1G73110	2.6422190668437375	2.9939781909271677	4.710399291705703	4.855982666682508
AT1G42540	1.6371846962529997	1.4492382290922705	3.3894109317599286	3.4022238945360246
AT2G40360	1.8729672298392943	2.235640769243364	3.85182566158018	4.2217250846500125
AT5G16730	2.706406281510137	2.9044296845818045	4.776462267269157	4.789772000491102
AT3G05060	1.9376758334111732	1.3991716577352125	3.798190660904159	3.958849378880923
AT5G44870	1.2447453601040117	0.821816681007387	2.8765200313522947	2.9604981678716253
AT3G50950	2.7247845791337753	2.993182672552603	5.006197261192129	4.92092751519079
AT4G15920	5.37657353915108	5.453935572753221	3.147456078125814	3.7380661357704037
AT1G53430	1.9338126834839158	1.4943653596243567	3.657730921708655	3.1746198132330132
AT4G31880	1.4374355642395444	1.3083046991372047	3.3185234127978673	3.7705483835862057
AT4G21710	1.4152035057684023	2.092901465158587	3.673769452728383	3.503311616819678
AT4G20390	5.803697208495126	5.9432738534600515	3.080552270760433	2.6955853707027773
AT1G22520	5.370643526590883	4.9572105835046205	3.1237644435787186	1.9854585034409165
AT4G00800	1.4878963797809166	1.6479828509118923	3.2563409039604525	3.3974531556985834
AT1G47900	1.786136027586864	1.041662949646268	2.9929697217712103	3.3706009806016684
AT2G43620	2.70303626113972	2.3062350419072946	4.593596022645748	4.6995422275634855
AT1G26150	3.2193184527078023	3.3261378121484033	5.8055820393961355	5.74863481197081
AT1G28420	1.0085014791813587	1.521262094820162	3.115239109862738	3.566895405939163
AT5G02940	0.7939218334034549	1.2285359289521485	3.851085758881136	2.5947785602602385
AT1G67030	4.710230742940008	4.751896964412423	2.5542365479452864	2.7424510832701383
AT1G63100	0.6140000895380221	1.0971797083705315	3.0885999631639782	3.0111230442971917
AT3G43300	2.5557430726078936	2.2282953565184873	4.218225133721328	4.742067286199983
AT1G43800	4.735622454252133	4.928409907326691	2.7451829589075274	2.2578830184394767
AT4G23050	1.4484900705391006	1.6969453482079455	3.493242999643709	3.5478225096444147
AT1G17110	1.2424906930023314	1.3031368715230012	3.2669648846527366	3.7955072188493757
AT3G52105	5.710323049768944	6.831591371785519	3.844871891560551	3.8872189885769317
